,others,query,source,suggestion,title,word
amt,[],12,from all products,,0,amt
anabelle,[],8,from all products,,0,anabelle
andril,"[(u'handrail', 206)]",15,from all products,handrail,0,andril
antivibration,"[(u'vibration', 22)]",1,from matched products,vibration,0,antivibration
aok,[],9,from all products,,0,aok
apper,"[(u'paper', 789), (u'per', 2010)]",14,from matched products,paper,0,apper
aprent,"[(u'argent', 20)]",1,from all products,argent,0,aprent
aprilaire,[],19,from all products,,0,aprilaire
arcfault,[],2,from bigrams,arc fault,0,arcfault
ardex,"[(u'arden', 12), (u'carex', 21)]",4,from all products,,0,ardex
armboard,"[(u'board', 2077)]",10,from matched products,board,0,armboard
artifical,"[(u'artificial', 1324)]",8,from matched products,artificial,0,artifical
asa,"[(u'alsa', 32), (u'asian', 16), (u'casa', 124), (u'pasta', 18)]",7,from all products,,0,asa
asher,"[(u'washer', 1726)]",4,from matched products,washer,0,asher
ashtabula,[],15,from all products,,0,ashtabula
ashwell,"[(u'shell', 102)]",12,from all products,shell,0,ashwell
askoll,[],2,from all products,,0,askoll
aspectmetal,[],3,from bigrams,aspect metal,0,aspectmetal
aspiradora,[],18,from all products,,0,aspiradora
assorment,"[(u'assortment', 170)]",13,from matched products,assortment,0,assorment
assy,"[(u'pass', 222), (u'alsy', 12), (u'classy', 34), (u'easy', 979), (u'ass', 30)]",8,from all products,ass,0,assy
astm,"[(u'ast', 12), (u'stem', 240), (u'fast', 213), (u'cast', 992)]",18,from all products,ast,0,astm
atomatica,"[(u'aromatic', 74), (u'automatic', 538)]",11,from all products,automatic,0,atomatica
atr,"[(u'after', 76), (u'cator', 11), (u'eater', 13), (u'astro', 13), (u'gator', 44), (u'altra', 33), (u'water', 5094)]",1,from all products,,0,atr
autofeeder,[],14,from all products,,0,autofeeder
awap,"[(u'wap', 17)]",11,from all products,wap,0,awap
awp,[],8,from all products,,0,awp
axxes,"[(u'axe', 64), (u'axess', 30), (u'axxys', 25)]",3,from all products,,0,axxes
azuvi,[],11,from all products,,0,azuvi
baag,"[(u'bag', 945), (u'bags', 460)]",2,from matched products,bag,0,baag
bacco,"[(u'basco', 57)]",13,from matched products,basco,0,bacco
backbrace,[],1,from all products,,0,backbrace
backpocket,[],2,from bigrams,back pocket,0,backpocket
backsp,"[(u'backup', 196)]",9,from all products,backup,0,backsp
backsplashes,"[(u'backsplash', 437)]",19,from matched products,backsplash,0,backsplashes
bakewarte,"[(u'bakeware', 23)]",19,from matched products,bakeware,0,bakewarte
balafon,[],10,from all products,,0,balafon
ballaster,"[(u'baluster', 209)]",6,from matched products,baluster,0,ballaster
barden,"[(u'arden', 12)]",3,from matched products,arden,0,barden
barranco,[],18,from all products,,0,barranco
barreir,"[(u'barrier', 338)]",9,from matched products,barrier,0,barreir
basem,"[(u'base', 3763), (u'based', 597)]",12,from matched products,base,0,basem
bathfan,[],17,from bigrams,bath fan,0,bathfan
bathfans,[],18,from bigrams,bath fans,0,bathfans
bathroomvanity,[],7,from bigrams,bathroom vanity,0,bathroomvanity
batte,"[(u'battery', 2753)]",9,from matched products,battery,0,batte
battery72517063,,11,added space before digit,battery 72517063,0,battery72517063
beadex,"[(u'beaded', 96)]",12,from matched products,beaded,0,beadex
beadez,"[(u'bead', 208)]",18,from matched products,bead,0,beadez
beekman,[],20,from all products,,0,beekman
behroil,"[(u'broil', 147)]",17,from all products,broil,0,behroil
behrwooden,[],10,from all products,,0,behrwooden
bener,"[(u'bender', 239), (u'blender', 38), (u'eer', 33), (u'bee', 12), (u'beer', 57)]",10,from all products,bender,0,bener
bentgrass,[],20,from all products,,0,bentgrass
bestair,"[(u'stair', 960)]",2,from all products,stair,0,bestair
bestine,[],20,from all products,,0,bestine
bestos,[],14,from all products,,0,bestos
bgr,[],5,from all products,,0,bgr
biax,[],14,from all products,,0,biax
bidat,"[(u'bidet', 110)]",6,from matched products,bidet,0,bidat
biech,"[(u'birch', 322)]",2,from matched products,birch,0,biech
bigass,[],1,from bigrams,big ass,0,bigass
biofuels,[],10,from all products,,0,biofuels
blash,"[(u'lash', 13), (u'flash', 63), (u'blast', 28), (u'ash', 134), (u'blush', 37), (u'leash', 24)]",6,from all products,lash,0,blash
blk,"[(u'black', 13370)]",11,from matched products,black,0,blk
blong,"[(u'oblong', 13), (u'blown', 46), (u'blocking', 36), (u'log', 246), (u'bog', 22), (u'long', 1013)]",13,from all products,oblong,0,blong
bluemax,[],1,from bigrams,blue max,0,bluemax
bluwood,[],13,from all products,,0,bluwood
boardman,[],9,from all products,,0,boardman
bolens,[],18,from all products,,0,bolens
boombox,[],13,from bigrams,boom box,0,boombox
bosche,"[(u'bosch', 1017)]",17,from matched products,bosch,0,bosche
boscobel,[],10,from all products,,0,boscobel
bostich,"[(u'bosch', 1017), (u'bostitch', 104)]",9,from all products,bostitch,0,bostich
boxspring,[],2,from bigrams,box spring,0,boxspring
brakers,"[(u'breaker', 983)]",1,from matched products,breaker,0,brakers
brambury,"[(u'banbury', 190)]",9,from matched products,banbury,0,brambury
bramerton,[],12,from all products,,0,bramerton
brayer,"[(u'bayer', 51)]",13,from matched products,bayer,0,brayer
brinkman,"[(u'brinkmann', 239)]",27,from matched products,brinkmann,0,brinkman
browel,"[(u'trowel', 96)]",13,from matched products,trowel,0,browel
brownswitch,[],4,from all products,,0,brownswitch
bti,[],18,from all products,,0,bti
btype,"[(u'type', 1565)]",9,from all products,type,0,btype
bulbsu,"[(u'bulb', 4214)]",7,from matched products,bulb,0,bulbsu
bungie,"[(u'bungee', 111)]",9,from matched products,bungee,0,bungie
bunners,"[(u'burner', 1132), (u'burners', 203)]",8,from matched products,burners,0,bunners
byass,"[(u'brass', 4407), (u'bypass', 421)]",8,from matched products,bypass,0,byass
byefold,[],3,from all products,,0,byefold
cabi,"[(u'carb', 34), (u'crab', 33), (u'cabrio', 58), (u'cabo', 22), (u'cabin', 45), (u'cab', 38)]",20,from all products,cabin,0,cabi
cabients,"[(u'cabinets', 144)]",17,from all products,cabinets,0,cabients
cabniets,"[(u'cabinet', 6494)]",2,from matched products,cabinet,0,cabniets
cair,"[(u'card', 37), (u'chair', 1785), (u'char', 156), (u'chairs', 145), (u'air', 4677), (u'cars', 22), (u'cart', 696), (u'carb', 34), (u'care', 314), (u'pair', 677), (u'hair', 60), (u'coir', 65), (u'car', 162)]",3,from all products,chair,0,cair
calton,"[(u'canton', 19)]",2,from matched products,canton,0,calton
campane,"[(u'champagne', 154)]",4,from all products,champagne,0,campane
canapies,"[(u'canopies', 14)]",17,from all products,canopies,0,canapies
canapu,[],8,from all products,,0,canapu
candels,"[(u'candles', 30)]",16,from matched products,candles,0,candels
canspot,[],14,from all products,,0,canspot
canster,"[(u'caster', 67), (u'casters', 101), (u'canister', 60)]",10,from all products,canister,0,canster
capipapia,[],5,from all products,,0,capipapia
capua,"[(u'cap', 2584)]",7,from all products,cap,0,capua
carla,"[(u'carolina', 69), (u'carol', 17), (u'carlo', 69), (u'ara', 20), (u'car', 162), (u'cal', 206)]",10,from all products,,0,carla
carpetshampoo,[],11,from bigrams,carpet shampoo,0,carpetshampoo
carpt,"[(u'carpet', 1358)]",2,from matched products,carpet,0,carpt
carr,"[(u'card', 37), (u'char', 156), (u'cars', 22), (u'cart', 696), (u'carb', 34), (u'care', 314), (u'carter', 12), (u'carry', 39), (u'car', 162)]",7,from all products,carry,0,carr
cartelized,[],10,from all products,,0,cartelized
castiron,[],9,from bigrams,cast iron,0,castiron
cawls,"[(u'cal', 206)]",12,from all products,cal,0,cawls
ccl,"[(u'cycle', 397)]",3,from all products,cycle,0,ccl
ceadar,"[(u'cedar', 1377)]",13,from matched products,cedar,0,ceadar
celin,"[(u'lin', 58), (u'ceilings', 103), (u'ceiling', 4995)]",9,from all products,ceiling,0,celin
celing,"[(u'ceiling', 4995), (u'ceilings', 103)]",6,from matched products,ceiling,0,celing
centerprise,"[(u'centerpiece', 14)]",8,from matched products,centerpiece,0,centerprise
ceto,"[(u'cetol', 56)]",9,from all products,cetol,0,ceto
cetolsrd,[],11,from bigrams,cetol srd,0,cetolsrd
chainlink,[],1,from bigrams,chain link,0,chainlink
chaosaw,[],6,from all products,,0,chaosaw
charbroi,[],10,from all products,,0,charbroi
charbroil,[],29,from bigrams,char broil,0,charbroil
chibli,"[(u'chili', 139)]",13,from matched products,chili,0,chibli
chinu,"[(u'china', 156)]",11,from matched products,china,0,chinu
chopsaw,[],4,from bigrams,chop saw,0,chopsaw
cincking,[],11,from all products,,0,cincking
clab,"[(u'clay', 274)]",12,from matched products,clay,0,clab
claissic,"[(u'classic', 1982), (u'classico', 21), (u'classics', 302)]",16,from all products,classic,0,claissic
cleane,"[(u'cleanser', 28), (u'clean', 463), (u'cleaners', 32), (u'cleaner', 1249)]",10,from all products,cleaner,0,cleane
clivus,[],7,from all products,,0,clivus
closable,[],8,from all products,,0,closable
clr,"[(u'clear', 4134), (u'claro', 38), (u'clark', 56), (u'color', 1719)]",2,from all products,,0,clr
coater,"[(u'carter', 12), (u'coated', 762), (u'caster', 67)]",20,from all products,,0,coater
coffee3,,12,added space before digit,coffee 3,0,coffee3
colared,[],8,from bigrams,cola red,0,colared
coldtemp,[],8,from all products,,0,coldtemp
colosso,[],8,from all products,,0,colosso
comealong,[],3,from bigrams,come along,0,comealong
comercialcarpet,[],17,from all products,,0,comercialcarpet
comi,"[(u'omni', 24), (u'com', 49), (u'coir', 65), (u'coil', 466), (u'coin', 45), (u'comp', 84), (u'comb', 16)]",16,from all products,com,0,comi
commercail,"[(u'commercial', 2252)]",14,from matched products,commercial,0,commercail
compamia,"[(u'compania', 1)]",1,from matched products,compania,0,compamia
compendent,"[(u'component', 60), (u'pendent', 26)]",11,from all products,component,0,compendent
composit,"[(u'composite', 2323), (u'composition', 18), (u'compost', 35)]",9,from all products,composite,0,composit
compressro,"[(u'compressor', 458)]",17,from matched products,compressor,0,compressro
conc,"[(u'sconce', 439), (u'con', 151), (u'cognac', 198), (u'coca', 47), (u'coco', 81), (u'cone', 184), (u'coin', 45), (u'corn', 47), (u'icon', 21), (u'once', 13)]",4,from all products,con,0,conc
concretetile,[],3,from bigrams,concrete tile,0,concretetile
cond,"[(u'bond', 223), (u'code', 70), (u'cod', 117), (u'con', 151), (u'cold', 309), (u'cone', 184), (u'coin', 45), (u'cord', 1151), (u'corn', 47), (u'icon', 21), (u'pond', 217)]",15,from all products,,0,cond
condit,"[(u'conduit', 649)]",14,from all products,conduit,0,condit
condulets,[],5,from all products,,0,condulets
congoleum,[],17,from all products,,0,congoleum
controle,"[(u'control', 2446)]",10,from matched products,control,0,controle
corelais,"[(u'coralais', 33)]",11,from all products,coralais,0,corelais
corio,"[(u'cri', 187), (u'cuori', 17), (u'corso', 11), (u'scorpion', 12), (u'orion', 20), (u'rio', 35)]",11,from all products,,0,corio
corne,"[(u'corner', 1945)]",16,from matched products,corner,0,corne
cornershower,[],13,from bigrams,corner shower,0,cornershower
corsar,[],8,from all products,,0,corsar
cothom,[],10,from all products,,0,cothom
couchen,"[(u'couch', 4)]",10,from matched products,couch,0,couchen
could,"[(u'old', 415), (u'cod', 117), (u'col', 43), (u'cold', 309), (u'cloud', 36)]",8,from all products,cold,0,could
coving,"[(u'coping', 13), (u'coring', 16), (u'covering', 100), (u'moving', 82)]",8,from all products,covering,0,coving
craftsm,"[(u'crafts', 84), (u'craftsman', 663), (u'craftsmen', 75), (u'craft', 209)]",9,from all products,crafts,0,craftsm
cranner,"[(u'crane', 51)]",8,from matched products,crane,0,cranner
csm,"[(u'cosmo', 15)]",2,from all products,cosmo,0,csm
cubicel,"[(u'cubicle', 1)]",1,from matched products,cubicle,0,cubicel
cucbi,"[(u'cub', 431), (u'ubi', 43)]",4,from all products,,0,cucbi
curlex,[],1,from all products,,0,curlex
custo,"[(u'custom', 1621), (u'cut', 1140)]",3,from matched products,custom,0,custo
cutte,"[(u'cutter', 562)]",11,from matched products,cutter,0,cutte
cuv,"[(u'curve', 77)]",8,from all products,curve,0,cuv
cwg,[],5,from all products,,0,cwg
cypermethrin,[],22,from all products,,0,cypermethrin
dacor,"[(u'ancor', 48), (u'acorn', 31), (u'decor', 943), (u'racor', 33), (u'dasco', 41), (u'danco', 510)]",5,from all products,,0,dacor
dampiner,"[(u'dampener', 17)]",5,from matched products,dampener,0,dampiner
danika,[],10,from all products,,0,danika
dcf,[],11,from all products,,0,dcf
dcon,"[(u'con', 151)]",2,from matched products,con,0,dcon
deadblow,[],2,from bigrams,dead blow,0,deadblow
deask,"[(u'desk', 327), (u'dek', 18), (u'ideas', 34)]",12,from all products,desk,0,deask
decarail,"[(u'deckorail', 84)]",5,from matched products,deckorail,0,decarail
deckpaint,[],18,from bigrams,deck paint,0,deckpaint
decostrip,[],5,from all products,,0,decostrip
dectot,[],4,from all products,,0,dectot
deg,[],7,from all products,,0,deg
dehimid,[],11,from all products,,0,dehimid
dep,"[(u'deep', 1214)]",2,from matched products,deep,0,dep
detecter,"[(u'detector', 134)]",5,from all products,detector,0,detecter
discon,"[(u'edison', 63)]",10,from all products,edison,0,discon
dlight,"[(u'light', 19307)]",11,from matched products,light,0,dlight
dobble,"[(u'cobble', 12), (u'double', 4771)]",2,from all products,,0,dobble
dolled,"[(u'rolled', 76)]",6,from matched products,rolled,0,dolled
doly,"[(u'dolly', 105)]",10,from matched products,dolly,0,doly
doorguard,[],3,from bigrams,door guard,0,doorguard
doors32x78,,10,added space before digit,doors 32x78,0,doors32x78
doorsmoocher,[],12,from all products,,0,doorsmoocher
dorada,"[(u'dorado', 21)]",1,from all products,dorado,0,dorada
doublesided,[],7,from bigrams,double sided,0,doublesided
doug,"[(u'dogs', 43), (u'dog', 556)]",6,from all products,dog,0,doug
dpdt,[],3,from all products,,0,dpdt
dracket,"[(u'bracket', 1253), (u'drake', 30)]",11,from all products,bracket,0,dracket
dreme,"[(u'dream', 29)]",16,from matched products,dream,0,dreme
dreyns,[],7,from all products,,0,dreyns
drione,[],15,from all products,,0,drione
drp,"[(u'drop', 705)]",8,from matched products,drop,0,drp
drumel,"[(u'dremel', 303)]",12,from matched products,dremel,0,drumel
drye,"[(u'dry', 672), (u'dryer', 1185), (u'dryden', 35), (u'drydex', 24), (u'dye', 41)]",4,from all products,dryer,0,drye
dryvit,[],1,from all products,,0,dryvit
dsown,"[(u'dyson', 35), (u'down', 719), (u'own', 54)]",3,from all products,down,0,dsown
duking,"[(u'decking', 246)]",15,from matched products,decking,0,duking
dule,"[(u'idle', 21), (u'duet', 159), (u'dune', 109), (u'rule', 16), (u'mule', 123), (u'duplex', 761), (u'double', 4771), (u'dale', 119), (u'module', 220), (u'dual', 2278)]",2,from all products,,0,dule
dupioni,[],3,from all products,,0,dupioni
duratemp,[],9,from all products,,0,duratemp
dutchlap,[],16,from bigrams,dutch lap,0,dutchlap
dwall,"[(u'dewalt', 2373)]",1,from matched products,dewalt,0,dwall
dymonic,[],6,from all products,,0,dymonic
eastbay,[],2,from bigrams,east bay,0,eastbay
easylight,[],9,from bigrams,easy light,0,easylight
eathgrow,"[(u'earthgro', 34)]",3,from matched products,earthgro,0,eathgrow
ecobulb,[],2,from all products,,0,ecobulb
edod,"[(u'edo', 19)]",10,from matched products,edo,0,edod
edsel,"[(u'edsal', 237)]",16,from matched products,edsal,0,edsel
eglimgton,[],11,from all products,,0,eglimgton
electral,"[(u'electrical', 579)]",9,from all products,electrical,0,electral
electrica,"[(u'electric', 6579)]",5,from matched products,electric,0,electrica
emp,"[(u'tempo', 95), (u'empty', 37), (u'temp', 346)]",12,from all products,temp,0,emp
ennox,"[(u'lennox', 11)]",9,from matched products,lennox,0,ennox
ensley,"[(u'hensley', 17)]",7,from matched products,hensley,0,ensley
entrydoors,[],18,from bigrams,entry doors,0,entrydoors
envios,"[(u'enviro', 35)]",3,from all products,enviro,0,envios
epilateur,"[(u'epilator', 3)]",2,from matched products,epilator,0,epilateur
ept,"[(u'empty', 37), (u'depth', 634), (u'depot', 265)]",18,from all products,,0,ept
estore,"[(u'restore', 309)]",10,from matched products,restore,0,estore
euroloft,[],18,from all products,,0,euroloft
eurotherm,[],12,from all products,,0,eurotherm
evap,"[(u'eva', 93)]",31,from all products,eva,0,evap
evendale,[],12,from all products,,0,evendale
everbuilt,"[(u'everbilt', 3386)]",10,from matched products,everbilt,0,everbuilt
evergrain,[],6,from all products,,0,evergrain
exacto,"[(u'acto', 3)]",11,from matched products,acto,0,exacto
exhaustless,[],6,from all products,,0,exhaustless
exp,[],20,from all products,,0,exp
exteriordoors,[],20,from bigrams,exterior doors,0,exteriordoors
fabris,"[(u'fabric', 730)]",4,from all products,fabric,0,fabris
fairlawn,[],3,from all products,,0,fairlawn
fameless,"[(u'frameless', 604)]",11,from all products,frameless,0,fameless
fan25522,,13,added space before digit,fan 25522,0,fan25522
fanall,[],10,from all products,,0,fanall
fantdoors,[],1,from all products,,0,fantdoors
fasad,"[(u'fasade', 274)]",3,from matched products,fasade,0,fasad
fastcap,[],1,from all products,,0,fastcap
faul,"[(u'full', 1477), (u'paul', 275), (u'fuel', 823), (u'fall', 281), (u'fault', 28), (u'azul', 13), (u'faux', 668)]",11,from all products,fault,0,faul
felx,"[(u'felt', 83), (u'fuel', 823), (u'flux', 32), (u'feel', 41), (u'flex', 741)]",2,from all products,,0,felx
felxfx,[],9,from all products,,0,felxfx
ffill,"[(u'fill', 100)]",9,from matched products,fill,0,ffill
fhnt,"[(u'fnpt', 51)]",11,from all products,fnpt,0,fhnt
fierenz,"[(u'firenze', 23)]",7,from matched products,firenze,0,fierenz
fija,"[(u'fiji', 11)]",10,from matched products,fiji,0,fija
filerts,"[(u'filter', 2519)]",8,from matched products,filter,0,filerts
fireglass,[],10,from bigrams,fire glass,0,fireglass
fireless,"[(u'frameless', 604), (u'wireless', 1001)]",2,from all products,wireless,0,fireless
firepot,[],11,from bigrams,fire pot,0,firepot
firter,"[(u'filter', 2519)]",3,from matched products,filter,0,firter
fitt,"[(u'fit', 570), (u'feit', 280), (u'fipt', 60), (u'fits', 306), (u'fitter', 150)]",20,from all products,fit,0,fitt
flaire,"[(u'flare', 96), (u'flared', 16), (u'flair', 49)]",9,from all products,,0,flaire
flexlock,[],13,from bigrams,flex lock,0,flexlock
floaties,[],10,from all products,,0,floaties
flomaster,[],3,from bigrams,flo master,0,flomaster
floorong,"[(u'floor', 5203)]",15,from matched products,floor,0,floorong
floot,"[(u'floor', 5203)]",8,from matched products,floor,0,floot
floratam,[],5,from all products,,0,floratam
florcant,[],16,from all products,,0,florcant
florent,"[(u'foret', 62)]",11,from all products,foret,0,florent
flotex,"[(u'flotec', 74)]",18,from matched products,flotec,0,flotex
flushmate,[],8,from all products,,0,flushmate
fma,"[(u'forma', 25)]",10,from all products,forma,0,fma
foof,"[(u'food', 391), (u'foot', 752), (u'goof', 99), (u'roof', 941)]",10,from all products,,0,foof
fosle,[],11,from all products,,0,fosle
fost,"[(u'foss', 61), (u'frosty', 19), (u'post', 3138), (u'foot', 752), (u'fast', 213), (u'frost', 784), (u'most', 23), (u'forest', 376)]",3,from all products,frost,0,fost
fpv,[],13,from all products,,0,fpv
frazee,[],12,from all products,,0,frazee
frenchwood,[],2,from bigrams,french wood,0,frenchwood
friedrich,[],2,from all products,,0,friedrich
frig,"[(u'ring', 1039)]",16,from matched products,ring,0,frig
frontload,[],7,from bigrams,front load,0,frontload
froses,"[(u'roses', 42)]",8,from all products,roses,0,froses
fsu,[],11,from all products,,0,fsu
fyrpon,"[(u'fypon', 172)]",10,from matched products,fypon,0,fyrpon
gaceno,[],8,from all products,,0,gaceno
galllon,"[(u'gallon', 59)]",13,from all products,gallon,0,galllon
gallondrywall,[],5,from all products,,0,gallondrywall
galloon,"[(u'gallon', 59)]",9,from all products,gallon,0,galloon
garagedoor,[],2,from bigrams,garage door,0,garagedoor
garde,"[(u'garden', 2287)]",22,from matched products,garden,0,garde
gardena,"[(u'garden', 2287)]",9,from matched products,garden,0,gardena
gasquet,"[(u'gasket', 196)]",10,from matched products,gasket,0,gasquet
gate0,,16,added space before digit,gate 0,0,gate0
gbi,[],8,from all products,,0,gbi
gelco,"[(u'gelcoat', 102)]",9,from matched products,gelcoat,0,gelco
geospring,[],5,from all products,,0,geospring
geotextile,[],19,from all products,,0,geotextile
gfic,"[(u'gfci', 349)]",18,from matched products,gfci,0,gfic
giga,"[(u'gig', 1)]",1,from matched products,gig,0,giga
gilmore,[],11,from all products,,0,gilmore
gimmble,"[(u'gimbal', 57)]",2,from matched products,gimbal,0,gimmble
glass3,,1,added space before digit,glass 3,0,glass3
glauder,[],10,from all products,,0,glauder
glifo,"[(u'glo', 190)]",11,from all products,glo,0,glifo
gll,"[(u'grill', 1473), (u'gull', 384)]",3,from all products,gull,0,gll
glm,"[(u'glam', 24)]",3,from all products,glam,0,glm
glulam,[],2,from all products,,0,glulam
goldroyalty,"[(u'royalty', 6)]",7,from matched products,royalty,0,goldroyalty
gooba,[],4,from all products,,0,gooba
gpx,[],9,from all products,,0,gpx
granit,"[(u'granite', 1681)]",1,from matched products,granite,0,granit
greaseless,[],10,from all products,,0,greaseless
gregio,"[(u'grigio', 20)]",1,from matched products,grigio,0,gregio
grib,"[(u'grip', 1155)]",9,from matched products,grip,0,grib
gridlee,"[(u'griddle', 87)]",12,from matched products,griddle,0,gridlee
grils,"[(u'grill', 1473)]",5,from matched products,grill,0,grils
grippy,[],3,from all products,,0,grippy
gsilestone,"[(u'silestone', 115)]",12,from all products,silestone,0,gsilestone
gte,"[(u'grate', 308), (u'gate', 1067), (u'gates', 30)]",15,from all products,gate,0,gte
gwtters,"[(u'gutters', 12)]",12,from all products,gutters,0,gwtters
hacr,"[(u'char', 156), (u'hvac', 116), (u'acre', 19), (u'hard', 355), (u'hart', 19), (u'hair', 60), (u'hack', 35)]",10,from all products,,0,hacr
haggerty,[],7,from all products,,0,haggerty
hallodoor,[],17,from all products,,0,hallodoor
hampton30,,9,added space before digit,hampton 30,0,hampton30
handtools,[],16,from bigrams,hand tools,0,handtools
hattic,"[(u'attic', 383)]",8,from matched products,attic,0,hattic
hdk,[],3,from all products,,0,hdk
headger,"[(u'edger', 460), (u'header', 94), (u'hedge', 338)]",7,from all products,header,0,headger
heatgasget,[],2,from all products,,0,heatgasget
heatwave,[],2,from all products,,0,heatwave
heculine,[],2,from all products,,0,heculine
hexhead,[],16,from bigrams,hex head,0,hexhead
hexpin,[],5,from all products,,0,hexpin
himalya,"[(u'himalaya', 13)]",1,from matched products,himalaya,0,himalya
hindges,"[(u'hinges', 147), (u'hinge', 821)]",18,from all products,hinges,0,hindges
hobbycrafter,[],16,from all products,,0,hobbycrafter
homedepot,[],10,from bigrams,home depot,0,homedepot
hoo,"[(u'photo', 54), (u'hook', 969), (u'hood', 708), (u'hoods', 16), (u'hooks', 265)]",15,from all products,,0,hoo
hooverwindtunnel,[],11,from bigrams,hoover windtunnel,0,hooverwindtunnel
hottubs,[],3,from bigrams,hot tubs,0,hottubs
hotwater,[],1,from bigrams,hot water,0,hotwater
hprse,"[(u'horse', 73)]",12,from matched products,horse,0,hprse
hucky,"[(u'husky', 1651)]",8,from matched products,husky,0,hucky
hummert,[],8,from all products,,0,hummert
hvm,[],14,from all products,,0,hvm
hxh,[],6,from all products,,0,hxh
hydrolic,"[(u'hydraulic', 47)]",3,from matched products,hydraulic,0,hydrolic
hypalon,[],9,from all products,,0,hypalon
iba,"[(u'libra', 27)]",11,from all products,libra,0,iba
ibeam,"[(u'beam', 191), (u'beams', 85)]",15,from matched products,beam,0,ibeam
icey,"[(u'ice', 744)]",11,from matched products,ice,0,icey
idylis,[],13,from all products,,0,idylis
iftin,[],12,from all products,,0,iftin
iile,"[(u'pile', 16)]",3,from matched products,pile,0,iile
iiluminart,"[(u'illuminart', 7)]",2,from matched products,illuminart,0,iiluminart
ilet,"[(u'inlet', 253)]",1,from matched products,inlet,0,ilet
ilumination,[],10,from all products,,0,ilumination
inanchor,"[(u'anchors', 219)]",4,from matched products,anchors,0,inanchor
incerts,"[(u'inserts', 50)]",9,from all products,inserts,0,incerts
inchesside,[],8,from all products,,0,inchesside
inferni,"[(u'inferno', 19)]",11,from matched products,inferno,0,inferni
inovations,"[(u'innovations', 67)]",1,from matched products,innovations,0,inovations
insh,"[(u'fish', 66), (u'finish', 1478), (u'pins', 54), (u'insl', 28), (u'bins', 38), (u'dish', 95), (u'inch', 131)]",1,from all products,finish,0,insh
insol,"[(u'sol', 14), (u'iso', 13), (u'insl', 28), (u'insoles', 12)]",17,from all products,insl,0,insol
instastart,[],5,from all products,,0,instastart
instock,"[(u'stock', 129)]",4,from all products,stock,0,instock
int,"[(u'paint', 5565), (u'pint', 94)]",17,from matched products,pint,0,int
internet202627028,,8,added space before digit,internet 202627028,0,internet202627028
islating,"[(u'insulating', 110)]",1,from all products,insulating,0,islating
itself,"[(u'self', 2973)]",15,from matched products,self,0,itself
jeldwen,[],76,from bigrams,jeld wen,0,jeldwen
jirdon,"[(u'jerdon', 17)]",14,from all products,jerdon,0,jirdon
joisthangers,[],16,from all products,,0,joisthangers
josie,"[(u'osi', 25), (u'jalousie', 18), (u'jobsite', 56), (u'joe', 288)]",11,from all products,jobsite,0,josie
jrc,[],8,from all products,,0,jrc
juera,[],15,from all products,,0,juera
kaindl,[],11,from all products,,0,kaindl
kalkey,[],9,from all products,,0,kalkey
kally,"[(u'kelly', 14)]",1,from matched products,kelly,0,kally
karacolor,[],1,from all products,,0,karacolor
kelton,"[(u'kelston', 23)]",7,from matched products,kelston,0,kelton
kendalwood,[],13,from all products,,0,kendalwood
kenken,[],3,from all products,,0,kenken
keystock,[],2,from bigrams,key stock,0,keystock
